SampleID Synergistetes Bacteroidetes Tenericutes unclassified Chlorobi Deferribacteres Planctomycetes Aquificae Verrucomicrobia Thermotogae Thermodesulfobacteria Proteobacteria Chlamydiae Cyanobacteria Elusimicrobia Euryarchaeota Nanoarchaeota Actinobacteria Fusobacteria Dictyoglomi Lentisphaerae Chloroflexi Acidobacteria Fibrobacteres Deinococcus_Thermus Chrysiogenetes Nitrospirae Firmicutes Korarchaeota Gemmatimonadetes Crenarchaeota Thaumarchaeota Spirochaetes
x10MCx3300 0 25142297550.0672 0 13377732012.5178 0 0 0 0 0 0 0 1003145539.05598 0 0 0 0 0 228391838.40561 195857388.49028105 0 0 0 0 0 0 0 0 4497020115.46317 0 0 0 0 0
x20MCx1703 4337919.64651553 23984140829.602 0 15017444024.2721 0 0 0 0 76130489.79634759 0 0 489534232.109278 0 0 0 0 0 309076774.814232 0 0 0 0 0 0 0 0 0 12323921267.7595 0 0 0 0 0
x20MCx2617 0 10905200041.4989 0 27815162817.5444 0 0 0 0 778222455.898609 0 0 400606710.157394 0 0 0 2819646.57934279 0 385532445.752446 0 0 0 0 0 0 0 0 0 8588860376.568841 0 0 0 0 0
x30MCx3369 0 47975003443.6783 0 42751172374.1437 0 0 0 0 35679387.611884296 0 0 562628154.803817 0 0 0 0 0 265046879.402569 0 0 0 0 0 0 0 0 0 16421519484.3597 0 0 0 0 0
x11MCx1752 88927386.2183342 42369019371.5975 0 23095309785.1572 0 0 0 0 0 0 0 2789608726.4563603 0 0 0 0 0 25593735.5457645 4380758251.5727 0 313848604.531536 0 0 0 0 0 0 9289875314.92067 0 0 0 0 0
x13MCx2240 0 55069142744.2139 0 78484045156.7333 0 0 0 0 4714994336.45242 0 0 5352017974.981339 0 0 0 13772897.870815802 0 625961941.026368 0 0 96301837.0809797 0 0 0 0 0 0 13204738721.641 0 0 0 0 0
x10MCx3074 0 10012464622.5992 0 22054317281.8375 0 0 0 0 1084480.32738686 0 0 973754885.960666 0 0 0 0 0 81227576.5212762 0 0 0 0 0 0 433792.1309547461 0 0 2360588328.6229897 0 0 0 0 0
x30MCx1139 0 3623699356.9803295 0 12185277421.1501 0 0 0 0 26569891.137253303 0 0 122221499.231365 0 0 0 7374500.39727846 0 32209214.9704662 0 0 8784331.35558169 0 0 0 0 0 0 3360060967.77762 0 0 0 0 0
x30MCx2954 0 4817368018.70684 0 51862213111.862 0 0 0 0 688970059.720505 0 0 472074086.252693 0 0 0 0 0 657411695.580938 0 0 15399614.1162147 0 0 0 0 0 0 4130241574.7608104 0 0 0 0 0
x20MCx2867 0 1687132012.51386 0 14222033763.1343 0 0 0 0 0 0 0 156274167.900783 0 0 0 0 0 28088139.823943604 433793.665234651 0 0 0 0 0 0 0 0 2510689285.96185 0 0 0 0 0
