SampleID Chloroflexi__class_ Gloeobacteria Deltaproteobacteria Acidobacteria Fusobacteriia Betaproteobacteria Chlorobia Synergistia Thermodesulfobacteria__class_ Ktedonobacteria Methanomicrobia Gemmatimonadetes__class_ Thermoplasmata Deferribacteres__class_ Thermococci Gammaproteobacteria Archaeoglobi Bacteroidia Thermotogae__class_ Thermoprotei Verrucomicrobiae Mollicutes Spartobacteria Bacilli Spirochaetia Thermomicrobia__class_ Dictyoglomia Negativicutes Clostridia Elusimicrobia__class_ Alphaproteobacteria Aquificae__class_ Methanobacteria Erysipelotrichi Chlamydiia unclassified Cytophagia Sphingobacteriia Zetaproteobacteria Deinococci Nitrospira__class_ Dehalococcoidetes Epsilonproteobacteria Anaerolineae Opitutae Halobacteria Chrysiogenetes__class_ Methanopyri Fibrobacteria Actinobacteria__class_ Solibacteres Flavobacteriia Planctomycetia Methanococci
x20MCx1703 0 0 411343230.480835 0 0 2168959.82325777 0 4337919.64651553 0 0 0 0 0 0 0 76022041.8051847 0 23984140829.602 0 0 76130489.79634759 0 0 13772894.8776868 0 0 0 2384988221.6542397 9867791163.90237 0 0 0 0 57368987.325167894 0 15017444024.2721 0 0 0 0 0 0 0 0 0 0 0 0 0 309076774.814232 0 0 0 0
x20MCx2617 0 0 134692348.136298 0 0 260383516.80777 0 0 0 0 0 0 0 0 0 4771709.59581087 0 10905200041.4989 0 0 778222455.898609 0 0 10302554.8091371 0 0 0 1332499904.63018 7240960863.69763 0 0 0 2819646.57934279 5097053.43188888 0 27815162817.5444 0 0 0 0 0 0 759135.617515365 0 0 0 0 0 0 385532445.752446 0 0 0 0
x30MCx3369 0 0 61056216.4908537 0 0 470447366.14089406 0 0 0 0 0 0 0 0 0 31124572.1720693 0 47966327604.7453 0 0 35679387.611884296 0 0 27220444.6522278 0 0 0 2822141956.91205 12811177560.3864 0 0 0 0 760979522.4090941 0 42751172374.1437 0 0 0 0 0 0 0 0 0 0 0 0 0 265046879.402569 0 8675838.93298098 0 0
x11MCx1752 0 0 311462747.828117 0 4380758251.5727 459602759.504025 0 88927386.2183342 0 0 0 0 0 0 0 2018543219.1242099 0 42369019371.5975 0 0 0 0 0 34703370.2315451 0 0 0 2240427892.54215 6801209877.1909895 0 0 0 0 213534174.955976 0 23409158389.6887 0 0 0 0 0 0 0 0 0 0 0 0 0 25593735.5457645 0 0 0 0
x13MCx2240 0 0 438997563.630412 0 0 0 0 0 0 0 0 0 0 0 0 4913020411.350929 0 55069142744.2139 0 0 4714994336.45242 0 0 23750115.2260524 0 0 0 0 12991746820.7096 0 0 0 13772897.870815802 189241785.705304 0 78580346993.8143 0 0 0 0 0 0 0 0 0 0 0 0 0 625961941.026368 0 0 0 0
x10MCx3074 0 0 163539633.369939 0 0 523044861.898685 0 0 0 0 0 0 0 0 0 287170390.692042 0 9714991668.797009 0 0 1084480.32738686 0 0 16158756.8780643 0 0 0 13013763.9286424 2269600429.15523 0 0 0 0 61815378.661051296 0 22247137884.0469 0 0 0 433792.1309547461 0 0 0 0 0 0 0 0 0 81227576.5212762 0 104652351.592832 0 0
x30MCx1139 0 0 7916743.07354893 0 0 69190165.49211259 0 0 0 0 0 0 0 0 0 45114590.6657035 0 3456363267.08326 0 0 26569891.137253303 0 0 19846081.9514994 0 0 0 225789850.399026 3090132563.53018 0 0 0 7374500.39727846 24292471.896917302 0 12361397842.4028 0 0 0 0 0 0 0 0 0 0 0 0 0 32209214.9704662 0 0 0 0
x30MCx2954 0 0 50536761.818000205 0 0 109207122.641043 0 0 0 0 0 0 0 0 0 311137273.93957597 0 4239014905.45492 0 0 688970059.720505 0 0 607742517.656809 0 0 0 665653742.572715 2853808770.90274 0 0 0 0 3036543.62854937 0 52214343724.787 0 0 0 0 0 0 1192927.85407297 0 0 0 0 0 0 657411695.580938 0 241622114.443143 0 0
x20MCx2867 0 0 0 0 433793.665234651 0 0 0 0 0 0 0 0 0 0 156274167.900783 0 1687132012.51386 0 0 0 0 0 17677091.858312 0 0 0 422081236.273315 2067569056.92465 0 0 0 0 3361900.90556854 0 14222033763.1343 0 0 0 0 0 0 0 0 0 0 0 0 0 28088139.823943604 0 0 0 0
x20MCx2969 0 0 140657167.01873 0 0 0 0 0 0 0 0 0 0 0 0 17677037.9522382 0 13021578533.7494 0 0 0 0 0 2819650.2255104 0 0 0 1228066121.29537 7876259112.6209 0 0 0 0 10953256.6452519 0 38432157917.9635 0 0 0 0 0 0 0 0 0 0 0 0 0 65285747.529125296 0 0 0 0
x20MCx1661 0 0 1321872751.7967598 0 0 12905312.779047802 0 0 0 0 0 0 0 0 0 66153283.9934384 0 26900311127.8761 0 0 0 0 0 57802787.48934871 0 0 0 12562508630.353998 7522279078.093229 0 0 0 0 400498488.176669 0 36965804407.4941 0 0 0 0 0 0 0 0 0 0 0 0 0 1324367055.94733 0 0 0 0
x10MCx1412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86541482.1078613 0 59742144471.2092 0 0 410367128.190661 0 0 142934427.842307 0 0 0 5856190.51857708 7088593278.8198595 0 0 0 0 6615326.32654078 0 13246052265.186 0 0 0 0 0 0 0 0 0 0 0 0 0 67996878.7990339 0 0 0 0
x30MCx1116 0 0 10194124.8764449 0 1409825.78078493 41860980.8756141 0 0 0 0 0 0 0 0 0 677583959.8726339 0 3438456631.19746 0 0 234898664.70616603 0 0 43487702.9303659 0 0 0 1800022177.65141 4395945232.6244 0 0 0 37631503.533259295 30365478.3553677 0 28290540150.4633 0 0 0 0 0 0 1192929.50681802 0 0 0 0 0 0 56393031.2313972 0 100856767.394614 0 0
x12MCx2987 0 0 52271921.162154 0 0 547662244.5412401 0 0 0 0 0 0 0 0 0 30148535.4420722 0 21960605318.2884 0 0 0 0 0 455915262.58443 0 0 0 76889610.1742057 43982592187.1531 0 0 0 278602832.916128 35787829.841308706 0 99961590281.0206 0 0 0 0 0 0 2494303.29197 0 0 0 0 0 0 843291408.624293 0 1772148264.96008 0 0
x10MCx3421 0 0 362107824.26901 0 0 1819323408.1871605 0 0 0 0 0 0 0 0 0 300834712.345683 0 67021288957.6357 0 0 58128120.3378825 0 0 643096555.230677 0 0 0 3390517825.08126 31126632409.0647 0 0 0 0 79167029.56465341 0 98177310770.8264 0 0 0 0 0 0 0 0 0 0 0 0 0 668581831.871354 0 1672159491.58547 0 0
x13MCx2129 0 0 47825568.5364771 0 0 60405536.677591294 0 0 0 0 0 0 0 0 0 278928259.128842 0 59284184345.0127 0 0 0 0 0 181758850.038856 0 0 0 3684520841.33064 9221984231.44641 0 0 0 0 669774855.513113 0 31874928069.5529 0 0 0 0 0 0 2277408.02554653 0 0 0 0 0 0 482593605.4134309 0 117991425.323554 0 0
x20MCx1511 0 0 75154462.90332621 0 0 60839327.11221639 0 0 0 0 0 0 0 0 0 232837852.60236803 0 88423509301.7007 0 0 5205503.92403991 0 0 390304346.304575 0 0 0 6470875169.575271 9096726555.25815 0 0 0 0 93807518.6311358 0 20181304921.509 0 0 0 0 0 0 0 0 0 0 0 0 0 2434223772.4791603 0 0 0 0
x30MCx1217 0 0 41535563.07291529 0 0 0 0 3253438.36080276 0 0 0 0 0 0 0 3687230.14224313 0 30081507979.8731 0 0 3688965309.36889 0 0 6073084.94016515 0 0 0 1475325848.67869 22786540039.3357 0 0 0 778330903.849381 237067208.55716097 0 100964711786.41 0 0 0 0 0 0 0 0 0 0 0 0 0 153996082.411331 0 0 0 0
x20MCx2175 0 0 32209061.973340504 0 0 345949184.158102 0 0 0 0 0 0 0 0 0 4012576.74415353 0 45286266478.5771 0 0 215052423.882607 0 0 176444928.722643 0 0 0 1935797159.0038 2529333173.0781803 0 0 0 0 14640482.7151548 0 14635385658.2095 0 0 0 0 0 0 0 0 0 0 0 0 0 285435188.935462 0 0 0 0
x30MCx1451 0 0 82420586.8686166 0 1952066.53109881 41427189.7155415 0 0 0 0 0 0 0 0 0 646784710.6374071 0 7176447257.162941 0 0 926472465.2876211 0 0 311679956.132111 0 0 0 472833893.088379 5995230109.56693 0 0 0 0 271228799.682119 0 34841784824.739 0 0 0 0 0 0 0 0 0 0 0 0 0 482594225.743874 0 194230619.844332 0 0
x30MCx2565 0 0 153453860.242272 0 6940669.29717696 268083351.60346 0 0 0 0 0 0 0 0 0 504825243.411855 0 12297239275.231 0 0 13614773514.1592 0 0 17026329.3696372 0 0 0 1139245796.35694 16175555140.9442 0 0 0 0 207894735.042004 0 66314299456.0039 0 0 0 0 0 0 13881338.5943539 0 0 0 0 0 0 545059435.7439281 0 0 0 0
x11MCx1404 0 0 506668846.182921 0 0 41752462.709851205 0 0 0 0 0 0 0 0 0 28855831890.4862 0 41580464253.0776 0 0 5886663450.26865 0 0 0 0 0 0 0 12198659780.4023 0 0 0 194121839.612035 297798084.678575 0 33862982424.9707 0 0 0 0 0 0 0 0 0 0 0 0 0 49235371.6110972 0 0 0 0
x30MCx2640 0 0 1561760320.80773 0 0 0 0 0 0 0 0 0 0 0 0 129270071.689661 0 24696765231.3883 0 0 3922891193.985 0 0 188265809.105077 0 0 0 516429598.478329 15453521313.3907 0 0 0 108339598.672795 2594944861.90454 0 59284100771.6431 0 0 0 0 0 0 0 0 0 0 0 0 0 426959959.934729 0 0 0 0
x20MCx2591 0 0 0 0 20496690.964883897 491052998.354467 0 0 0 0 0 0 0 0 0 0 0 19011168886.3814 0 0 0 0 0 17785488.4563014 0 0 0 10570761684.7626 3585294197.3495297 0 0 0 0 29497883.2933779 0 31828758314.0565 0 0 0 0 0 0 0 0 0 0 0 0 0 1226005774.3810198 0 0 0 0
x30MCx1832 0 0 0 0 0 3253439.76249773 0 0 0 0 0 0 0 0 0 5313951.61207962 0 47293844003.5324 0 0 0 0 0 38065245.2212234 0 0 0 4253004905.52911 26479420882.9928 0 0 0 0 50862108.28704779 0 78601586390.056 0 0 0 0 0 0 0 0 0 0 0 0 0 821818884.006926 0 0 0 0
x30MCx2354 0 0 8025166.92349341 0 0 17351712.2670128 0 0 0 0 0 0 0 0 0 67237885.0346745 0 12817492955.238998 0 0 12037750.3852401 0 0 1409826.62169479 0 0 0 1483029157.82125 3721616936.6692295 0 0 0 0 42728591.457519 0 14676728924.6494 0 0 0 0 0 0 0 0 0 0 0 0 0 168311608.990024 0 1074938574.94144 0 0
x20MCx1263 0 0 59321092.4700144 0 0 75262958.2709141 0 0 0 0 0 0 0 0 0 148899195.541736 0 11201709254.6988 0 0 1331525362.60848 0 0 26135984.0681416 0 0 0 1875934657.3058696 13321109821.6851 0 0 0 75479854.40425971 7049124.33373115 0 40056703250.4606 0 0 0 0 0 0 0 0 0 0 0 0 0 1517839141.1523302 0 0 0 0
x20MCx3324 0 0 296605316.90244704 0 0 580956008.280223 0 0 0 0 0 0 0 0 0 407222290.664968 0 32113625755.4489 0 0 3514366325.2434 0 0 48259366.0042373 0 0 0 38715940.8168825 21348099904.0452 0 0 0 0 60405543.5154161 0 65641630502.8691 0 0 0 0 0 0 0 0 0 0 0 0 0 950113046.209265 0 0 0 0
x10MCx2722 0 0 926362818.882312 0 0 5221771216.24717 0 0 0 0 0 0 0 0 0 8458944.0263194 0 32845320518.1959 0 0 0 0 0 20605120.064111397 0 0 0 13556000.0421785 16242690802.538 0 0 0 0 17568576.0546634 0 80464945914.3609 0 0 0 0 0 0 0 0 0 0 0 0 0 189133312.588475 0 0 0 0
x10MCx1330 0 0 363192209.185254 0 0 2505581606.7531 0 0 0 0 0 0 0 0 0 767486194.208434 0 44653012649.5048 0 0 3511219515.31531 0 0 39258160.5628731 0 0 0 109423988.972207 12479540244.7847 0 0 0 0 90879388.2643306 0 47277995457.3069 0 0 0 0 0 0 0 0 0 0 0 0 0 274264884.153332 0 902829244.988726 0 0
x13MCx1381 0 0 832338097.360307 0 0 274264892.276771 0 0 0 0 0 0 0 0 0 128185489.391516 0 59587165725.9948 0 0 1253875320.08858 0 0 176770175.726033 0 0 0 3524992510.3061104 31649019020.3573 0 0 0 0 166359171.511493 0 129326036592.811 0 0 0 0 0 0 0 0 0 0 0 0 0 1652421575.17642 0 0 0 0
x12MCx2530 0 0 228608447.676116 0 0 11820835.2925506 0 0 0 0 0 0 0 0 0 264070953.553767 0 3550805405.03386 0 0 976032.271861974 0 0 235006881.458322 0 0 0 535841717.252224 4129484094.21781 0 0 0 0 28847176.035031702 0 25613472670.3228 0 0 0 0 0 0 0 0 0 0 0 0 0 50536782.0764089 0 864547696.809295 0 0
x11MCx1874 0 0 86649913.1833197 0 0 383905748.021216 0 0 0 0 0 0 0 0 0 91530070.9971488 0 8723661660.049341 0 0 57260518.3489272 0 0 67237729.87942211 0 0 0 0 48290679839.158 0 0 0 214726943.808477 143042847.9209 0 125220620032.747 0 0 0 0 0 0 0 0 0 0 0 0 0 2105300080.88584 0 0 0 0
x30MCx2662 0 0 329899048.30728 0 0 244225067.977644 0 0 0 0 0 0 0 0 0 81010713.0458705 0 18548742085.5952 0 0 0 0 0 124389943.592521 0 0 0 194881193.230829 11031880568.3952 0 0 0 37956826.7283195 33402007.520921197 0 56778641070.2059 0 0 0 0 0 0 4988611.51286485 0 0 0 0 0 0 141850083.887548 0 0 0 0
x13MCx2273 0 0 694175599.766987 0 0 117666071.824274 0 0 0 0 0 0 0 0 0 179156083.551799 0 9928955950.111929 0 0 2567180877.62601 0 0 292592683.669947 0 0 0 314824522.125225 4394312654.67244 0 0 0 0 768570922.597818 0 43823399963.0433 0 0 0 0 0 0 0 0 0 0 0 0 0 208762385.49468 0 21364254.515559506 0 0
x30MCx1674 0 0 252900862.75860095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29334873359.1824 0 0 0 0 0 23533227.7952901 0 0 0 91747053.9853245 17808580349.9906 0 0 0 0 33727344.9047706 0 36948902807.4751 0 0 0 0 0 0 0 0 0 0 0 0 0 73636228.9078432 0 0 0 0
x20MCx1257 0 0 15833424.864323098 0 0 566858299.76587 0 0 0 0 0 0 0 0 0 5530853.89096219 0 17909880931.9752 0 0 0 0 0 34052708.269845694 0 0 0 3076239244.53007 9112678249.99552 0 0 0 0 32209090.3061916 0 17710119503.2075 0 0 0 0 0 0 0 0 0 0 0 0 0 437696594.194577 0 0 0 0
x30MCx1966 0 0 767377857.3227481 0 0 434008788.157948 0 0 0 0 0 0 0 0 0 84806314.92741509 0 48482967729.0026 0 0 740699655.95172 0 0 182192594.728974 0 0 0 8415671156.88278 18643833287.3997 0 0 0 0 43053845.302025296 0 103381500647.872 0 0 0 0 0 0 0 0 0 0 0 0 0 1418824831.45188 0 0 0 0
x13MCx1553 0 0 259190644.64687 0 0 969091046.261266 0 0 0 0 0 0 0 0 0 0 0 15687757775.1808 0 0 656218657.221007 0 0 31341462.8882616 0 0 0 716732623.628101 6961058200.24823 0 0 0 0 18436154.640153896 0 45819375127.1745 0 0 0 0 0 0 0 0 0 0 0 0 0 419259846.110794 0 0 0 0
x10MCx1396 0 0 228391378.086175 0 4337917.9123680005 1034593422.09977 0 0 0 0 0 0 0 0 0 641144267.447991 0 17687318047.9415 0 0 0 0 0 2886992818.6287103 0 0 0 975923082.334991 34314340510.1524 0 0 0 0 76455803.205486 0 62013789995.7349 0 0 0 0 0 0 0 0 0 0 0 0 0 591258211.4557589 0 0 0 0
x30MCx3070 0 0 664894839.163278 0 0 573039362.280013 0 0 0 0 0 0 0 0 0 39366632.9499706 0 50335066163.6346 0 0 0 0 0 61923822.078328505 0 0 0 435093474.918133 11974071746.2951 0 0 0 0 114195769.962312 0 26474548674.9662 0 0 0 0 0 0 0 0 0 0 0 0 0 377182229.75206 0 0 0 0
x30MCx2632 0 0 260817372.586321 0 0 1891657975.06162 0 0 0 0 0 0 0 0 0 52380370.4612029 0 11108108872.878 0 0 165491605.22525 0 0 26135961.2446168 0 0 0 4897944206.02436 16041949357.6243 0 0 0 0 433791887.87745696 0 63446618416.9007 0 0 0 0 0 0 0 0 0 0 0 0 0 665002964.116141 0 0 0 0
x20MCx1815 0 0 263637010.672531 0 0 284242124.628837 0 0 0 0 0 0 0 0 0 167443662.887037 0 126158931220.277 0 0 0 0 0 69623595.57867739 0 0 0 9103447793.86436 5316444744.63162 0 0 0 0 14857371.6421788 0 51103176914.9082 0 0 0 0 0 0 0 0 0 0 0 0 0 375338417.90935 0 0 0 0
x30MCx1838 0 0 391497116.079521 0 0 125691179.372899 0 0 0 0 0 0 0 0 0 1150307454.3644 0 16836978742.3296 0 0 40234191.153878704 0 0 803057103.758685 0 0 0 27762676.375722304 12125674250.9605 0 0 0 36872304.5615061 19086840.0083091 0 46377550885.644005 0 0 0 0 0 0 0 0 0 0 0 0 0 446588677.012595 0 973537288.378354 0 0
x10MCx3322 0 0 22231845.035210896 0 0 163648069.06406498 0 0 0 0 0 0 0 0 0 27328902.1896251 0 42902038516.729 0 0 1735168.39299207 0 0 20605124.6667809 0 0 0 0 11531929139.8253 0 0 0 0 12688418.8737545 0 34822335342.786 0 0 0 0 0 0 0 0 0 0 0 0 0 106821304.193574 0 292484322.24372596 0 0
x20MCx1232 0 0 1316015845.20844 0 0 310920266.024935 0 0 0 0 0 0 0 0 0 54549317.6876674 0 28278886839.4357 0 0 0 0 0 396594144.699403 0 0 0 30365425.352975897 15593513502.3346 0 0 0 49452264.146275 364493552.1834 0 128276028204.954 0 0 0 0 0 0 0 0 0 0 0 0 0 221884500.972102 0 0 0 0
